title,author,price,year_bought,genre
"Prayer Journal for Women: 52 Week Scripture, Devotional & Guided Prayer Journal",Shannon Roberts,10,2020,Non Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,5,2022,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,5,2021,Fiction
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,5,2020,Fiction
White Fragility: Why It's So Hard for White People to Talk About Racism,Dr. Robin DiAngelo,8,2020,Non Fiction
The Lincoln Highway: A Novel,Amor Towles,18,2022,Fiction
The Deep End (Diary of a Wimpy Kid Book 15),Jeff Kinney,7,2020,Fiction
The 48 Laws of Power,Robert Greene,12,2021,Non Fiction
The 48 Laws of Power,Robert Greene,12,2022,Non Fiction
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,15,2021,Non Fiction
Caste (Oprah's Book Club): The Origins of Our Discontents,Isabel Wilkerson,15,2020,Non Fiction
The Song of Achilles: A Novel,Madeline Miller,10,2021,Fiction
Burn After Writing,Sharon Jones,7,2020,Non Fiction
Wacky Waving Inflatable Tube Guy (RP Minis),Conor Riordan,12,2020,Fiction
Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,20,2021,Fiction
"Oh, the Places You'll Go!  ",Dr. Seuss,9,2021,Fiction
We Were Liars,E. Lockhart,6,2021,Fiction
Ugly Love: A Novel,Colleen Hoover,10,2022,Fiction
Rage,Bob Woodward,8,2020,Non Fiction
Crystals for Beginners: The Guide to Get Started with the Healing Power of Crystals,Karen Frazier,9,2021,Non Fiction
Chicka Chicka Boom Boom (Board Book),Bill Martin Jr.,5,2020,Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,7,2021,Non Fiction
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",Hopscotch Girls,7,2020,Non Fiction
How to Catch a Unicorn,Adam Wallace,5,2020,Fiction
American Marxism,Mark R. Levin,14,2021,Non Fiction
Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,Jenson William,11,2022,Non Fiction
Giraffes Can't Dance,Giles Andreae,6,2020,Fiction
What to Expect When You're Expecting,Heidi Murkoff,13,2022,Non Fiction
How to Catch a Mermaid,Adam Wallace,5,2020,Fiction
How to Catch a Mermaid,Adam Wallace,5,2021,Fiction
"The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz",Erik Larson,17,2020,Non Fiction
"Publication Manual of the American Psychological Association: 7th Edition, Official, 2020 Copyright",American Psychological Association,21,2021,Non Fiction
The Love Hypothesis,Ali Hazelwood,11,2022,Fiction
How to Be an Antiracist,Ibram X. Kendi,17,2020,Non Fiction
"Magnolia Table, Volume 2: A Collection of Recipes for Gathering",Joanna Gaines,17,2020,Non Fiction
Live Free Or Die: America (and the World) on the Brink,Sean Hannity,13,2020,Non Fiction
"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",Snoop Dogg,13,2022,Non Fiction
Burn After Writing (Pink),Sharon Jones,7,2022,Non Fiction
Burn After Writing (Pink),Sharon Jones,7,2021,Non Fiction
They Both Die at the End,Adam Silvera,8,2021,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,9,2022,Fiction
The Wonderful Things You Will Be,Emily Winfield Martin,9,2021,Fiction
