order,titles,authors,genres,editorial,countries,languages,orig_language,pages,dates
78,Arsène Lupin. Caballero ladrón,"Leblanc, Maurice",Género policíaco y misterio,Roca Bolsillo,España,Español,Español,224,11-03-2021
24,Un cuento perfecto,"Benavent, Elísabet",Narrativa romántica adulta y contemporánea,DEBOLSILLO,España,Español,Español,640,18-02-2021
52,Los crímenes de la carretera,"Barker, J.D. / Patterson, James",Obra de misterio y suspense,Ediciones Destino,España,Español,Inglés,624,17-03-2021
88,Las armas de la luz,"Sánchez Adalid, Jesús",Aventura histórica,HarperCollins,España,Español,Español,816,10-03-2021
94,El jardín de vidrio,"Tibuleac, Tatiana",Ficción moderna y contemporanea,Impedimenta,España,Español,Español,360,29-03-2021
14,El huerto de Emerson,"Landero, Luis",Ficción moderna y contemporanea,Tusquets Editores,España,Español,Español,240,03-02-2021
69,La Templanza,"Dueñas, María",Ficción moderna y contemporanea,Booket,España,Español,Español,544,17-03-2021
5,Breve tratado sobre la estupidez humana,"Moreno Castillo, Ricardo",Filosofía social y política,Fórcola Ediciones,España,Español,Español,120,19-09-2018
79,Culpa mía (Culpables 1),"Ron, Mercedes",Relatos románticos y de relaciones interpersonales (infantil/juvenil),B de Bolsillo (Ediciones B),España,Español,Español,448,02-07-2020
70,Una rosa sola,"Barbery, Muriel",Ficción moderna y contemporanea,Seix Barral,España,Español,Francés,192,03-03-2021
25,Miss Marte,"Jabois, Manuel",Género policíaco y misterio,ALFAGUARA,España,Español,Español,208,04-02-2021
89,Invisible,"Moreno, Eloy",Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil),Nube de Tinta,España,Español,Inglés,304,30-12-2020
95,La Ciudad de Vapor,"Ruiz Zafón, Carlos",Ficción moderna y contemporanea,Editorial Planeta,España,Español,Español,224,17-11-2020
15,El Principito,"Saint-Exupéry, Antoine de",Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil),Salamandra Infantil y Juvenil,España,Español,Francés,96,15-01-2008
53,Una corte de rosas y espinas,"Maas, Sarah J.",Fantasía y realismo mágico (infantil/juvenil),Destino Infantil & Juvenil,España,Español,Inglés,456,24-05-2016
6,Una herencia peligrosa (Amanda Black 1),"Gómez-Jurado, Juan / Montes, Bárbara",Thriller (infantil/juvenil),B de Blok (Ediciones B),España,Español,Español,192,11-02-2021
80,1794,"Natt Och Dag, Niklas",Ficción histórica,SALAMANDRA,España,Español,Sueco,512,04-03-2021
96,El hijo del padre,"del Árbol, Víctor",Obra de misterio y suspense,Ediciones Destino,España,Español,Español,416,10-03-2021
16,Ready Player Two,"Cline, Ernest",Juegos de PC/ordenador/en línea: guías de estrategia,Nova,España,Español,Inglés,464,25-03-2021
90,El paciente,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),España,Español,Español,496,07-01-2021
26,Los Compas y el diamantito legendario (nueva presentación),"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,España,Español,Español,240,29-10-2020
48,Coñodramas,Moderna de Pueblo,Feminismo y teoría feminista,Zenith,España,Español,Español,312,24-11-2020
27,Nosotros en la luna,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,España,Español,Español,480,27-01-2021
34,La anguila,"Bonet, Paula",TRATAMIENTOS Y MATERIAS ARTÍSTICAS,Editorial Anagrama,España,Español,Español,200,24-03-2021
49,El poder del ahora,"Tolle, Eckhart","Mente, cuerpo y espíritu: pensamiento y práctica",Gaia Ediciones,España,Español,Inglés,220,01-09-2007
35,Espíritus y criaturas de Japón,"Hearn, Lafcadio","Misterios, lo sobrenatural, monstruos y seres mitológicos (infantil/juvenil)",Editorial Luis Vives (Edelvives),España,Español,Francés,162,22-03-2021
28,My Hero Academia nº 01,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,España,Español,Inglés,192,18-10-2016
50,My Hero Academia nº 02,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,España,Español,Japonés,208,29-11-2016
29,Los Compas y la maldición de Mikecrack,"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,España,Español,Español,224,29-10-2020
36,La anomalía,"Tellier, Hervé Le",Ficción moderna y contemporanea,Seix Barral,España,Español,Francés,368,31-03-2021
54,Klara y el Sol,"Ishiguro, Kazuo",Ficción moderna y contemporanea,Editorial Anagrama,España,Español,Inglés,384,03-03-2021
7,Reina roja,"Gómez-Jurado, Juan",Género policíaco y misterio,B (Ediciones B),España,Español,Español,568,08-11-2018
17,El duque y yo (Bridgerton 1),"Quinn, Julia",Narrativa romántica histórica,Titania,España,Español,Inglés,320,07-01-2020
55,Hazlo tú mismo con Maestros de la costura,Shine / RTVE,"ESTILO DE VIDA, DEPORTE Y OCIO",Espasa,España,Español,Español,176,20-01-2021
37,"¡Es la microbiota, idiota!","Arponen, Sari",Familia y Salud,Alienta Editorial,España,Español,Español,368,03-03-2021
8,Trolardy y el pan dorado,Trolerotutos y Hardy,Edad de interés: a partir de 9 años,Ediciones Martínez Roca,España,Español,Español,192,24-03-2021
97,Las tinieblas y el alba (La precuela de Los pilares de la Tierra),"Follett, Ken",Ficción moderna y contemporanea,PLAZA & JANES,España,Español,Inglés,936,15-09-2020
18,Dime qué comes y te diré qué bacterias tienes,"García-Orea Haro (@blancanutri), Blanca","Terapias complementarias, curación y salud",GRIJALBO ILUSTRADOS,España,Español,Español,272,08-10-2020
56,Madrid,"Trapiello, Andrés",Biografía: literaria,Ediciones Destino,España,Español,Español,560,15-10-2020
38,Ética cosmopolita,"Cortina Orts, Adela",Filosofía,Ediciones Paidós,España,Español,Español,208,24-03-2021
30,Loba negra,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),España,Español,Español,552,24-10-2019
98,"Vivir no es tan divertido, y envejecer, un coñazo","Tusquets Blanca, Oscar",Ensayos literarios,Editorial Anagrama,España,Español,Español,200,17-03-2021
39,La vida contada por un sapiens a un neandertal,"Millás, Juan José / Arsuaga, Juan Luis",Antropología,ALFAGUARA,España,Español,Español,224,23-09-2020
99,Sombra y hueso,"Bardugo, Leigh",Fantasía y realismo mágico (infantil/juvenil),Editorial Hidra,España,Español,Inglés,416,11-11-2019
57,Los Forasteros del Tiempo 11: La aventura de los Balbuena con los vikingos,"Santiago, Roberto / Ferna´ndez Va´zquez, Pablo",Edad de interés: a partir de 10 años,EDICIONES SM,España,Español,Español,320,18-03-2021
19,Un amor,"Mesa, Sara",Obra de misterio y suspense,Editorial Anagrama,España,Español,Español,192,02-09-2020
40,Ética para inversores,"Márkaris, Petros",Género policíaco y misterio,Tusquets Editores,España,Español,Griego moderno (1453-),304,31-03-2021
58,Un instante eterno,"Bruckner, Pascal",Filosofía social y política,Siruela,España,Español,Francés,204,25-03-2021
100,Nada,"Laforet, Carmen",Ficción moderna y contemporanea,Austral,España,Español,Español,368,28-01-2020
9,Delparaíso,"Val, Juan del",Ficción moderna y contemporanea,Espasa,España,Español,Español,312,07-01-2021
59,Todo lo que nunca fuimos,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,España,Español,Español,352,03-02-2021
10,Aquitania,"García Sáenz de Urturi, Eva",Obra de misterio y suspense,Editorial Planeta,España,Español,Español,416,05-11-2020
60,Mirabella y la escuela de magia (Mirabella 2),"Muncaster, Harriet",Relatos sobre la familia y el hogar (infantil/juvenil),ALFAGUARA,España,Español,Inglés,160,18-03-2021
20,My Hero Academia nº 26,"Horikoshi, Kohei",Cómics y novelas gráficas,Planeta Cómic,España,Español,Japonés,200,24-03-2021
