order,title,author,genre,editorial,country,language,orig_language,pages,date,year_pub
26,Los Compas y el diamantito legendario (nueva presentación),"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,España,Español,Español,240,2020-10-29,2020
48,Coñodramas,Moderna de Pueblo,Feminismo y teoría feminista,Zenith,España,Español,Español,312,2020-11-24,2020
27,Nosotros en la luna,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,España,Español,Español,480,2021-01-27,2021
34,La anguila,"Bonet, Paula",TRATAMIENTOS Y MATERIAS ARTÍSTICAS,Editorial Anagrama,España,Español,Español,200,2021-03-24,2021
49,El poder del ahora,"Tolle, Eckhart","Mente, cuerpo y espíritu: pensamiento y práctica",Gaia Ediciones,España,Español,Inglés,220,2007-09-01,2007
35,Espíritus y criaturas de Japón,"Hearn, Lafcadio","Misterios, lo sobrenatural, monstruos y seres mitológicos (infantil/juvenil)",Editorial Luis Vives (Edelvives),España,Español,Francés,162,2021-03-22,2021
28,My Hero Academia nº 01,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,España,Español,Inglés,192,2016-10-18,2016
50,My Hero Academia nº 02,"Horikoshi, Kohei",Novelas gráficas: manga,Planeta Cómic,España,Español,Japonés,208,2016-11-29,2016
29,Los Compas y la maldición de Mikecrack,"Mikecrack, El Trollino y Timba Vk",Edad de interés: a partir de 10 años,Ediciones Martínez Roca,España,Español,Español,224,2020-10-29,2020
36,La anomalía,"Tellier, Hervé Le",Ficción moderna y contemporanea,Seix Barral,España,Español,Francés,368,2021-03-31,2021
54,Klara y el Sol,"Ishiguro, Kazuo",Ficción moderna y contemporanea,Editorial Anagrama,España,Español,Inglés,384,2021-03-03,2021
7,Reina roja,"Gómez-Jurado, Juan",Género policíaco y misterio,B (Ediciones B),España,Español,Español,568,2018-11-08,2018
17,El duque y yo (Bridgerton 1),"Quinn, Julia",Narrativa romántica histórica,Titania,España,Español,Inglés,320,2020-01-07,2020
55,Hazlo tú mismo con Maestros de la costura,Shine / RTVE,"ESTILO DE VIDA, DEPORTE Y OCIO",Espasa,España,Español,Español,176,2021-01-20,2021
37,"¡Es la microbiota, idiota!","Arponen, Sari",Familia y Salud,Alienta Editorial,España,Español,Español,368,2021-03-03,2021
8,Trolardy y el pan dorado,Trolerotutos y Hardy,Edad de interés: a partir de 9 años,Ediciones Martínez Roca,España,Español,Español,192,2021-03-24,2021
97,Las tinieblas y el alba (La precuela de Los pilares de la Tierra),"Follett, Ken",Ficción moderna y contemporanea,PLAZA & JANES,España,Español,Inglés,936,2020-09-15,2020
18,Dime qué comes y te diré qué bacterias tienes,"García-Orea Haro (@blancanutri), Blanca","Terapias complementarias, curación y salud",GRIJALBO ILUSTRADOS,España,Español,Español,272,2020-10-08,2020
56,Madrid,"Trapiello, Andrés",Biografía: literaria,Ediciones Destino,España,Español,Español,560,2020-10-15,2020
38,Ética cosmopolita,"Cortina Orts, Adela",Filosofía,Ediciones Paidós,España,Español,Español,208,2021-03-24,2021
30,Loba negra,"Gómez-Jurado, Juan",Obra de misterio y suspense,B (Ediciones B),España,Español,Español,552,2019-10-24,2019
98,"Vivir no es tan divertido, y envejecer, un coñazo","Tusquets Blanca, Oscar",Ensayos literarios,Editorial Anagrama,España,Español,Español,200,2021-03-17,2021
39,La vida contada por un sapiens a un neandertal,"Millás, Juan José / Arsuaga, Juan Luis",Antropología,ALFAGUARA,España,Español,Español,224,2020-09-23,2020
99,Sombra y hueso,"Bardugo, Leigh",Fantasía y realismo mágico (infantil/juvenil),Editorial Hidra,España,Español,Inglés,416,2019-11-11,2019
57,Los Forasteros del Tiempo 11: La aventura de los Balbuena con los vikingos,"Santiago, Roberto / Ferna´ndez Va´zquez, Pablo",Edad de interés: a partir de 10 años,EDICIONES SM,España,Español,Español,320,2021-03-18,2021
19,Un amor,"Mesa, Sara",Obra de misterio y suspense,Editorial Anagrama,España,Español,Español,192,2020-09-02,2020
40,Ética para inversores,"Márkaris, Petros",Género policíaco y misterio,Tusquets Editores,España,Español,Griego moderno (1453-),304,2021-03-31,2021
58,Un instante eterno,"Bruckner, Pascal",Filosofía social y política,Siruela,España,Español,Francés,204,2021-03-25,2021
100,Nada,"Laforet, Carmen",Ficción moderna y contemporanea,Austral,España,Español,Español,368,2020-01-28,2020
9,Delparaíso,"Val, Juan del",Ficción moderna y contemporanea,Espasa,España,Español,Español,312,2021-01-07,2021
59,Todo lo que nunca fuimos,"Kellen, Alice",Narrativa romántica adulta y contemporánea,Booket,España,Español,Español,352,2021-02-03,2021
10,Aquitania,"García Sáenz de Urturi, Eva",Obra de misterio y suspense,Editorial Planeta,España,Español,Español,416,2020-11-05,2020
60,Mirabella y la escuela de magia (Mirabella 2),"Muncaster, Harriet",Relatos sobre la familia y el hogar (infantil/juvenil),ALFAGUARA,España,Español,Inglés,160,2021-03-18,2021
20,My Hero Academia nº 26,"Horikoshi, Kohei",Cómics y novelas gráficas,Planeta Cómic,España,Español,Japonés,200,2021-03-24,2021
