order,title,author,genre,editorial,country,language,orig_language,pages,date,genres_clasif,price,year_best
,10.000 millas para encontrarte (Bali 2),"Ron, Mercedes",['Relatos románticos y de relaciones interpersonales (infantil/juvenil)'],MONTENA,España,Castellano,Castellano,480,28-09-2023,fiction,18.95,2023
,La novia gitana (La novia gitana 1),"Mola, Carmen",['Ficción moderna y contemporanea'],DEBOLSILLO,España,Castellano,Castellano,408,17-06-2021,fiction,10.95,2023
,Nada es verdad,"Raimo, Veronica","['Italia', 'Ficción moderna y contemporanea']",Libros del Asteroide,España,Castellano,Italiano,216,25-09-2023,fiction,18.95,2023
,Tokio blues,"Murakami, Haruki",['Ficción moderna y contemporanea'],Maxi-Tusquets,España,Castellano,Japonés,384,01-05-2007,fiction,10.95,2023
,Lecciones,"McEwan, Ian","['Historia: acontecimientos y temas específicos', 'Historia del siglo xxi: c. 2000-', 'Ficción moderna y contemporanea']",Editorial Anagrama,España,Castellano,Inglés,584,06-09-2023,fiction,24.9,2023
,Las aventuras de Dani y Evan 8. El clan de los Lobosaurios,Las aventuras de Dani y Evan,"['Misterios, lo sobrenatural, monstruos y seres mitológicos (infantil/juvenil)', 'Ficción de crimen y misterio (infantil/juvenil)', 'Relatos de aventuras (infantil/juvenil)', 'Edad de interés: a partir de 6 años', 'Dinosaurios y el mundo prehistórico (infantil/juvenil)']",Destino Infantil & Juvenil,España,Castellano,Castellano,144,11-10-2023,fiction,12.95,2023
,"Padre Rico, padre Pobre (edición actualizada)","Kiyosaki, Robert T.","['Finanzas personales', 'Economía']",DEBOLSILLO,España,Castellano,Inglés,384,01-06-2023,non-fiction,10.95,2023
,El pacto del agua,"Verghese, Abraham","['Siglo xx', 'Ficción moderna y contemporanea', 'Sagas']",SALAMANDRA,España,Castellano,Inglés,784,05-10-2023,fiction,24.0,2023
,Este dolor no es mío,"Wolynn, Mark",['Psicoterapia'],Gaia Ediciones,España,Castellano,Inglés,288,15-09-2017,non-fiction,14.0,2023
,MITOS GRIEGOS N/E (CUCAÑA)**,"Anton Garcia, Francesc / Angelidou, Maria / Vasilev, Svetlin",['FICCIÓN E HISTORIAS REALES INFANTILES Y JUVENILES'],Editorial Vicens Vives,España,Castellano,Castellano,160,29-05-2023,fiction,12.9,2023
,Lo que América le debe a España,"Gullo Omodeo, Marcelo",['Historia'],Espasa,España,Castellano,Castellano,400,04-10-2023,non-fiction,21.9,2023
,PREMIO EDEBÉ 2015: Mentira,"Santos Torres, Care","['FICCIÓN E HISTORIAS REALES INFANTILES Y JUVENILES', 'España', 'Español / Castellano', 'Edad de interés: a partir de 14 años']",Grupo EDEBÉ,España,Castellano,Castellano,252,20-02-2015,fiction,11.95,2023
,El cuco de cristal,"Castillo, Javier","['Género policíaco y misterio', 'Ficción moderna y contemporanea', 'Obra de misterio y suspense']",SUMA,España,Castellano,Castellano,488,01-02-2023,fiction,20.9,2023
,Neurociencia del cuerpo,"Castellanos, Nazareth",['Medicina popular y salud'],Editorial Kairós SA,Castellano,Castellano,Castellano,1,07-09-2022,non-fiction,18.0,2023
,El Monstruo de Colores. Doctor de emociones,"Llenas Serra, Anna / Llenas Serra, Anna","['Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil)', 'Edad de interés: a partir de 3 años', 'Álbumes ilustrados']",Editorial Flamboyant,España,Castellano,Catalán,56,07-09-2023,non-fiction,16.95,2023
,Todo lo que me ha enseñado el amor,"Javierre, Luna","['Autoayuda y desarrollo personal', 'Poesía', 'Afirmación personal, motivación y autoestima']",Ediciones Martínez Roca,España,Castellano,Castellano,208,13-09-2023,non-fiction,16.9,2023
,Amanda Black 9 - El camino del ninja,"Gómez-Jurado, Juan / Montes, Bárbara","['Edad de interés: a partir de 8 años', 'Thriller (infantil/juvenil)', 'Fantasía y realismo mágico (infantil/juvenil)']",B de Blok,España,Castellano,Castellano,192,19-10-2023,fiction,14.96,2023
,"George Steiner, el huésped incómodo","Ordine, Nuccio",['Reportajes y colección de artículos periodísticos'],Acantilado,España,Castellano,Italiano,128,11-10-2023,non-fiction,12.0,2023
,El Príncipe de la Niebla,"Ruiz Zafón, Carlos",['Ficción moderna y contemporanea'],Booket,España,Castellano,Castellano,240,16-05-2007,fiction,9.95,2023
,Vive más,"Vázquez, Marcos","['Dietética y nutrición', 'Dietas y régimen alimenticio']",GRIJALBO,España,Castellano,Castellano,304,05-10-2023,non-fiction,20.9,2023
,Tu cuerpo es tuyo,"Serrano, Lucía","['Cuestiones personales y sociales: sexualidad y relaciones interpersonales (infantil/juvenil)', 'Cuestiones personales y sociales: cuerpo y salud (infantil/juvenil)', 'Álbumes ilustrados']",NubeOcho,España,Castellano,Castellano,40,11-10-2021,non-fiction,14.9,2023
,Todas las personas que fui,"Casas, Alfonso","['Novela gráfica y manga como obra de arte', 'Novelas gráficas']",Random Cómic,España,Castellano,Castellano,208,26-10-2023,fiction,22.95,2023
,ARTA en la jungla máxima (Arta Game 5),"Game, Arta","['Ficción general (infantil/juvenil)', 'Relatos de humor (infantil/juvenil)', 'Relatos de aventuras (infantil/juvenil)']",MONTENA,España,Castellano,Castellano,192,11-10-2023,fiction,19.95,2023
,"La Babilonia, 1580","Martín Gijón, Susana","['Ficción moderna y contemporanea', 'Aventura histórica', 'Misterios históricos']",ALFAGUARA,España,Castellano,Castellano,464,29-08-2023,fiction,21.9,2023
,Los chicos de Biloxi,"Grisham, John",['Obra de suspense político y judicial'],PLAZA & JANES,España,Castellano,Inglés,512,26-10-2023,fiction,23.9,2023
,Reckless n.5,"Narashima,Sachi",['Novelas gráficas'],PANINI ESPAÑA,España,Castellano,Castellano,144,01-10-2023,fiction,22.0,2023
,Las guerras de Yavé,"Benítez, J. J.","['Fenómenos inexplicables/paranormales', 'Ovnis y seres extraterrestres']",Editorial Planeta,España,Castellano,Castellano,336,18-10-2023,non-fiction,20.9,2023
,La rebelión de los buenos,"Santiago, Roberto","['Obra de misterio y suspense', 'Género policíaco y misterio', 'Ficción moderna y contemporanea', 'Obra de suspense político y judicial']",Editorial Planeta,España,Castellano,Castellano,720,14-06-2023,fiction,22.9,2023
,Lecciones de química,"Garmus, Bonnie","['c. 1960\x96c. 1970', 'Estados Unidos de América', 'Ficción moderna y contemporanea']",SALAMANDRA,España,Castellano,Inglés,464,16-02-2023,fiction,21.0,2023
,Éxtasis (Serie Crave 6),"Wolff, Tracy","['Fantasía romántica (juvenil)', 'Ficción general (infantil/juvenil)', 'Edad de interés: a partir de 14 años', 'Ficción moderna y contemporanea']",Editorial Planeta,España,Castellano,Inglés,768,04-10-2023,fiction,19.9,2023
,QUIJOTE Liberado,"de Cervantes, Miguel",['Ficción clásica'],Blackie Books,España,Castellano,Castellano,832,18-10-2023,fiction,29.9,2023
,Trilogía IREMONGER 1: Los secretos de Heap House,"Carey, Edward",['Ficción moderna y contemporanea'],Blackie Books,España,Castellano,Inglés,384,04-10-2023,fiction,23.9,2023
,El retrato de casada,"O'Farrell, Maggie","['Italia', 'Irlanda', 'Ficción moderna y contemporanea']",Libros del Asteroide,España,Castellano,Inglés,400,13-03-2023,fiction,23.95,2023
,ERIK VOGLER 1: LOS CRÍMENES DEL REY BLANCO,"Oses García, Beatriz","['FICCIÓN E HISTORIAS REALES INFANTILES Y JUVENILES', 'España', 'Español / Castellano', 'Edad de interés: a partir de 12 años']",Grupo EDEBÉ,España,Castellano,Castellano,144,30-06-2014,fiction,12.0,2023
,Tan poca vida,"Yanagihara, Hanya",['Ficción moderna y contemporanea'],LUMEN,España,Castellano,Inglés,1008,15-09-2016,fiction,24.9,2023
,Testigo de un tiempo incierto,"Solana, Javier","['Política y Gobierno', 'Historia']",Espasa,España,Castellano,Castellano,224,25-10-2023,non-fiction,20.9,2023
,La red púrpura (La novia gitana 2),"Mola, Carmen",['Género policíaco y misterio'],DEBOLSILLO,España,Castellano,Castellano,432,17-06-2021,fiction,10.95,2023
,Cucú. Calabaza,"Arrhenius, Ingela P.","['Halloween', 'ARTÍCULOS DE ESCRITORIO INFANTILES Y VARIOS', 'Aprendizaje temprano/conceptos de aprendizaje temprano', 'Libros y paquetes interactivos y de actividades', 'Álbumes ilustrados', 'Para niños c. 0-2 años', 'Libros para bebés']",Timun Mas Infantil,España,Castellano,Inglés,10,27-09-2023,non-fiction,10.95,2023
,La veterinaria. Grandes sueños,"Lark, Sarah","['Sagas', 'Narrativa romántica histórica']",B,España,Castellano,Alemán,592,31-08-2023,fiction,22.9,2023
,Querido capullo,"Despentes, Virginie","['Español / Castellano', 'Francia', 'Ficción moderna y contemporanea']",Random House,España,Castellano,Francés,264,14-09-2023,fiction,21.9,2023
,Las reglas del ratoncito Pérez (Cuentos para contar entre dos),"Moreno, Eloy","['Edad de interés: a partir de 6 años', 'Cuentos tradicionales', 'Relatos de aventuras (infantil/juvenil)']",Nube de Tinta,España,Castellano,Castellano,48,07-09-2023,fiction,15.95,2023
,Las garras del águila: una novela de Lisbeth Salander (Serie Millennium),"Smirnoff, Karin","['Obra de misterio y suspense', 'Género policíaco y misterio', 'Ficción moderna y contemporanea']",Ediciones Destino,España,Castellano,Sueco,592,30-08-2023,fiction,22.9,2023
,Cómo vender una casa encantada,"Hendrix, Grady","['Ficción moderna y contemporanea', 'Ficción y temas afines', 'Cuentos de terror y fantasmas']",Minotauro,España,Castellano,Inglés,440,18-10-2023,fiction,19.95,2023
,Biografía del silencio,"d'Ors, Pablo",['Ficción moderna y contemporanea'],Galaxia Gutenberg,España,Castellano,Castellano,112,12-02-2020,fiction,12.95,2023
,Lunario 2024,"Gros, Michel","['Astrología', 'Jardinería', 'Agricultura orgánica', 'Horticultura', 'AGRICULTURA Y EXPLOTACIÓN AGROPECUARIA']",Artús Porta Manresa - Calendario Lunar,España,Castellano,Francés,130,20-07-2023,non-fiction,9.26,2023
