order,title,author,genre,editorial,country,language,orig_language,pages,date,genres_clasif,price,year_best
,Hábitos atómicos,"Clear, James","['Mente, cuerpo y espíritu: pensamiento y práctica', 'Afirmación personal, motivación y autoestima', 'APLICACIONES EMPRESARIALES', 'Estrategias y políticas educativas', 'Autoayuda y desarrollo personal']",Diana Editorial,España,Castellano,Inglés,336,08-09-2020,non-fiction,19.9,2023
,No te veré morir,"Muñoz Molina, Antonio","['Ficción histórica', 'Nueva York', 'Ficción moderna y contemporanea']",Seix Barral,España,Castellano,Castellano,240,30-08-2023,fiction,19.9,2023
,Mirafiori,"Jabois, Manuel",['Ficción moderna y contemporanea'],ALFAGUARA,España,Castellano,Castellano,208,05-10-2023,fiction,18.9,2023
,Dios - La ciencia - Las pruebas,"Bolloré, Michel-Yves / Bonnassies, Olivier","['Francia', 'CIENCIA: CUESTIONES GENERALES']",Editorial Funambulista,España,Castellano,Francés,584,04-10-2023,non-fiction,24.9,2023
,EVANGELIO 2024 LETRA GRANDE,"MARTINEZ PUCHE/ ALVAREZ,LUIS/ DEL CERRO",['Religión y creencias'],EDIBESA,España,Castellano,Castellano,512,01-06-2023,non-fiction,4.6,2023
,La mujer que soy,"Spears, Britney","['Música: estilos y géneros', 'Actores e intérpretes', 'Autobiografía: arte y espectáculo']",PLAZA & JANES,España,Castellano,Inglés,280,26-10-2023,non-fiction,21.9,2023
,Bocabesada,"Val, Juan del",['Ficción moderna y contemporanea'],Espasa,España,Castellano,Castellano,288,27-09-2023,fiction,20.9,2023
,JESUS ES EL SEÑOR (NUEVA ED.),EDICE,['Estudios generales'],EDICE ED.,España,Castellano,Castellano,168,01-07-2021,non-fiction,16.5,2023
,Le dedico mi silencio,"Vargas Llosa, Mario","['Perú', 'Música del mundo', 'Ficción moderna y contemporanea']",ALFAGUARA,España,Castellano,Castellano,312,26-10-2023,fiction,20.9,2023
,Mañana y tarde,"Fosse, Jon","['Noruega', 'Ficción moderna y contemporanea']",Nórdica Libros,España,Castellano,Noruego,112,02-10-2023,fiction,18.0,2023
,Cómo hacer que te pasen cosas buenas,"Rojas Estapé, Marian",['Autoayuda y desarrollo personal'],Espasa,España,Castellano,Castellano,232,09-10-2018,non-fiction,19.9,2023
,Invisible,"Moreno, Eloy","['Edad de interés: a partir de 12 años', 'Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil)', 'Ficción general (infantil/juvenil)']",Nube de Tinta,España,Castellano,Inglés,304,01-02-2018,fiction,15.95,2023
,El Hombre Iluminado (Novela Secreta 4),"Sanderson, Brandon",['Fantasía'],Nova,España,Castellano,Inglés,544,19-10-2023,fiction,26.9,2023
,Holly (Edición en español),"King, Stephen","['Cuentos de terror y fantasmas', 'Obra de misterio y suspense']",PLAZA & JANES,España,Castellano,Inglés,624,21-09-2023,fiction,23.9,2023
,El viaje de Shuna,"Miyazaki, Hayao",['Novelas gráficas'],Salamandra Graphic,España,Castellano,Japonés,160,19-10-2023,fiction,24.0,2023
,Los inocentes,"Oruña, María",['Género policíaco y misterio'],Ediciones Destino,España,Castellano,Castellano,464,13-09-2023,fiction,21.9,2023
,Twisted 3. Twisted Hate,"Huang, Ana","['Narrativa romántica', 'Ficción erótica', 'Ficción moderna y contemporanea', 'Edad de interés: a partir de 14 años', 'Ficción general (infantil/juvenil)']",Crossbooks,España,Castellano,Inglés,608,25-10-2023,fiction,17.95,2023
,CALENDARIO LITÚRGICO PASTORAL 2023-2024,EDICE,['Estudios generales'],CONFERENCIA EPISCOPAL ESPAÑOLA,España,Castellano,Castellano,404,01-09-2023,non-fiction,16.5,2023
,TACO 2024 SAGADO CORAZON JESUS CLASICO,AA.VV,"['Anuarios, almanaques, publicaciones anuales']",MENSAJERO EDICIONES,España,Castellano,Castellano,365,01-07-2023,non-fiction,5.1,2023
,Los papeles de Admunsen,"Vázquez Montalbán, Manuel",['Ficción moderna y contemporanea'],Navona Editorial,España,Castellano,Castellano,464,16-10-2023,fiction,25.0,2023
,Los siete maridos de Evelyn Hugo,"Jenkins Reid, Taylor",['Ficción histórica'],Umbriel,España,Castellano,Inglés,384,04-02-2020,fiction,17.0,2023
,MANIAC,"Labatut, Benjamín","['Divulgación científica', 'Invenciones e inventores', 'Crímenes reales: descubrimientos/históricas/científicas']",Editorial Anagrama,España,Castellano,Castellano,400,25-10-2023,non-fiction,21.9,2023
,La utilidad de lo inútil,"Ordine, Nuccio",['Prosa: no ficción'],Acantilado,España,Castellano,Italiano,176,14-11-2013,non-fiction,10.0,2023
,Encuentra tu persona vitamina,"Rojas Estapé, Marian",['Autoayuda y desarrollo personal'],Espasa,España,Castellano,Castellano,328,25-08-2021,non-fiction,19.9,2023
,Los contemplativos,"d'Ors, Pablo",['Ficción moderna y contemporanea'],Galaxia Gutenberg,España,Castellano,Castellano,432,27-09-2023,fiction,23.0,2023
,Diario de Greg 18 - Descerebrados,"Kinney, Jeff","['Relatos sobre la escuela (infantil/juvenil)', 'Caricaturas e historietas (infantil/juvenil)', 'Relatos de humor (infantil/juvenil)']",Molino,España,Castellano,Inglés,224,26-10-2023,fiction,15.0,2023
,El sutil arte de que (casi todo) te importe una mierda,"Manson, Mark","['Autoayuda y desarrollo personal', 'Afirmación personal, motivación y autoestima']",HarperCollins,España,Castellano,Inglés,240,04-04-2018,non-fiction,16.9,2023
,Trilogía,"Fosse, Jon","['Noruega', 'Europa del Norte, Escandinavia', 'Narrativa romántica adulta y contemporánea', 'Obra de misterio y suspense', 'Ficción moderna y contemporanea', 'EUROPA', 'Literatura y estudios literarios']",De Conatus,España,Castellano,Noruego,168,07-11-2018,fiction,16.9,2023
,El Principito (edición oficial),"Saint-Exupéry, Antoine de","['Edad de interés: a partir de 10 años', 'Cuestiones personales y sociales: autoconocimiento y autoestima (infantil/juvenil)', 'Ficción clásica (infantil/juvenil)']",Salamandra Infantil y Juvenil,España,Castellano,Francés,96,15-01-2008,fiction,6.95,2023
,El monje que vendió su Ferrari,"Sharma, Robin","['Afirmación personal, motivación y autoestima', 'Mente, cuerpo y espíritu: meditación y visualización']",DEBOLSILLO,España,Castellano,Inglés,216,22-03-2012,non-fiction,10.95,2023
,Todo lo que sé sobre el amor,"Alderton, Dolly","['Autobiografía: general', 'Ficción moderna y contemporanea']",Booket,España,Castellano,Inglés,384,03-03-2021,fiction,9.95,2023
,El poder del ahora,"Tolle, Eckhart","['Mente, cuerpo y espíritu: pensamiento y práctica']",Gaia Ediciones,España,Castellano,Inglés,220,01-09-2007,non-fiction,10.0,2023
,La Revolución francesa contada para escépticos,"Eslava Galán, Juan","['Historia social y cultural', 'Historia: acontecimientos y temas específicos', 'c. 1700-c. 1800', 'Revoluciones, levantamientos y rebeliones']",Editorial Planeta,España,Castellano,Castellano,464,11-10-2023,non-fiction,21.9,2023
,Las hermanas Jacobs (Quirke & Strafford 1),"Black, Benjamin","['Obra de misterio y suspense', 'Género policíaco y misterio']",ALFAGUARA,España,Castellano,Inglés,336,05-10-2023,fiction,20.9,2023
,Romper el hielo,"Grace, Hannah","['Patinaje sobre hielo', 'Narrativa romántica adulta y contemporánea']",B,España,Castellano,Inglés,464,28-09-2023,fiction,19.9,2023
,El hombre en busca de sentido,"Frankl, Viktor Emil","['El Holocausto', 'Psicoterapia', 'c. 1939-c. 1945 (incluye la Segunda Guerra Mundial)', 'Español / Castellano', 'Psicología']",Herder Editorial,España,Castellano,Alemán,168,04-12-2015,non-fiction,12.9,2023
,Emperador de Roma,"Beard, Mary","['Antigua Roma', 'Historia antigua: hasta c. 500 e. c.']",Editorial Crítica,España,Castellano,Castellano,592,25-10-2023,non-fiction,27.9,2023
,Las despedidas,"Bergareche Mendoza, Jacobo","['Islas Baleares, Comunidad Autónoma de', 'Ficción moderna y contemporanea']",Libros del Asteroide,España,Castellano,Castellano,168,02-10-2023,fiction,18.95,2023
,El viento conoce mi nombre,"Allende, Isabel",['Ficción moderna y contemporanea'],PLAZA & JANES,España,Castellano,Castellano,352,06-06-2023,fiction,22.9,2023
,Las madres (La novia gitana 4),"Mola, Carmen",['Género policíaco y misterio'],DEBOLSILLO,España,Castellano,Castellano,464,31-08-2023,fiction,10.95,2023
,La cadena de espinas,"Clare, Cassandra","['Relatos románticos y de relaciones interpersonales (infantil/juvenil)', 'Edad de interés: a partir de 14 años', 'Fantasía y realismo mágico (infantil/juvenil)']",Destino Infantil & Juvenil,España,Castellano,Inglés,832,25-10-2023,fiction,18.95,2023
,Los misterios de la taberna Kamogawa (La taberna Kamogawa 1),"Kashiwai, Hisashi","['Japón', 'Cocina nacional y regional', 'Género policíaco y misterio']",SALAMANDRA,España,Castellano,Japonés,192,01-06-2023,fiction,18.0,2023
,Un amor,"Mesa, Sara","['Violencia en la sociedad', 'Comunidades rurales', 'Cuestiones y procesos sociales']",Editorial Anagrama,España,Castellano,Castellano,192,02-09-2020,non-fiction,17.9,2023
,Te di ojos y miraste las tinieblas,"Solà Saez, Irene","['Fantasía', 'MITOS Y LEYENDAS NARRADOS COMO FICCIÓN', 'Ficción moderna y contemporanea']",Editorial Anagrama,España,Castellano,Catalán,176,30-08-2023,fiction,17.9,2023
,Hamnet,"O'Farrell, Maggie","['Ficción histórica', 'Inglaterra', 'Ficción moderna y contemporanea']",Libros del Asteroide,España,Castellano,Inglés,352,22-02-2021,fiction,23.95,2023
,Los diarios del opio,"Jiménez, David","['Biografía: literaria', 'Biografía: general', 'Biografía e historias relaes', 'Asia Oriental, Lejano Oriente', 'Literatura de viajes']",Editorial Ariel,España,Castellano,Castellano,272,31-05-2023,non-fiction,18.9,2023
,One Piece nº 105,"Oda, Eiichiro","['Cómics y novelas gráficas', 'Edad de interés: a partir de 8 años', 'Novelas gráficas: manga']",Planeta Cómic,España,Castellano,Japonés,192,18-10-2023,fiction,8.5,2023
,La mala costumbre,"Portero, Alana S.","['Madrid, Comunidad de', 'Ficción moderna y contemporanea']",Seix Barral,España,Castellano,Castellano,256,03-05-2023,fiction,19.0,2023
